 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    3 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   17 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   17 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   17 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   18 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   18 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   18 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   18 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   18 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   18 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   18 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   18 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   18 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   22 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   23 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   23 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   23 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   24 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   24 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   24 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   25 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;   25 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;   25 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;   25 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;   25 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;   25 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;   25 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;   25 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;   25 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;   26 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
