DMAQ
( Nb)   Gr (P) (Q) Und ( Mg ) ( Mt )u( Mv )u( Me )u(Xvd)(Nbc)
 6728   10 100 100   1   8104  80521u                    6728 BMONTESI-1CS
 8276   10 100 100   1   6600   7006u  7046u  7076u      8276 CALDEIUH-1GR
 4489   10 100 100   1   8885   8885u  8845u  8875u      4489 SMANO-UH-1GR
 4478   10 100 100   1   8881   8881u  8886u  8887u      4478 SINOP-UH-1GR
 5746   10 100 100   2   5910   5910u  5940u  5970u      5746 CSP---UT-2GR
 5799   10 100 100   1   5911   5911u  5941u  5971u      5799 CSP---UT-1GR
 6552   10 100 100   1   6902   6902u                    6552 RUROP-SI-1CS
 9356   10 100 100   3   6500   6500u  6540u  6570u      9356 BAIGUAUH-3GR
  998   10 100 100   1   6909   6909u  6949u  6979u       998 PAMPASUT-1GR
  402   10 100 100   1   6903   6903u                     402 ARARQ2SI-1CS
 9504   10 100 100   1   6904   6904u                    9504 T.RIO-SI-1CS
 6537   10 100 100   1   6905   6905u                    6537 TAPAJOSI-1CS
 6970   10 100 100   1   6906   6906u                    6970 ARIQU-SI-1CS
 6885   10 100 100   1   6907   6907u                    6885 JIPAR-SI-1CS
999999
